nash_value,stones,mega_slot,effective_roster_R,mirror_exposure,gap_exposure_pct,zero_answer_opps,members,pick_rates_pct
0.0442,1,한카리아스,4.777,0.584,0.0,0,한카리아스|브리두라스|아머까오|에이스번|워시로토무|님피아,97|53|13|81|11|46
0.0442,2,망나뇽,5.438,0.271,0.6,0,마스카나|아머까오|에이스번|망나뇽|님피아|대짱이,55|13|75|71|45|41
0.0438,1,마폭시,4.915,0.284,4.7,0,브리두라스|아머까오|에이스번|님피아|히트로토무|마폭시,57|12|74|51|14|93
0.0437,1,마폭시,4.936,0.273,2.1,0,브리두라스|에이스번|워시로토무|님피아|히트로토무|마폭시,56|74|13|50|13|93
0.0434,2,마폭시,4.958,0.28,2.1,0,브리두라스|에이스번|워시로토무|님피아|마폭시|핫삼,60|75|16|50|89|11
0.0431,1,마폭시,4.913,0.282,2.1,0,브리두라스|에이스번|워시로토무|불카모스|님피아|마폭시,60|73|15|11|48|94
0.0429,2,갑주무사,5.503,0.288,2.0,0,보만다|갑주무사|타부자고|마스카나|에이스번|님피아,86|19|43|42|64|46
0.0428,1,망나뇽,5.182,0.314,0.6,0,타부자고|마스카나|아머까오|에이스번|망나뇽|님피아,38|53|10|72|88|39
0.0428,2,마폭시,5.023,0.173,0.7,0,드닐레이브|아머까오|에이스번|워시로토무|님피아|마폭시,57|11|78|17|55|83
0.0427,2,보만다,5.234,0.263,0.6,0,보만다|타부자고|갸라도스|에이스번|워시로토무|님피아,86|41|45|71|9|48
0.0426,1,마폭시,4.922,0.286,1.6,0,브리두라스|고릴타|아머까오|에이스번|님피아|마폭시,59|14|11|74|49|93
0.042,2,보만다,5.233,0.301,0.6,0,보만다|브리두라스|갸라도스|아머까오|에이스번|님피아,85|47|41|9|71|47
0.0417,2,마폭시,5.083,0.358,2.4,0,보만다|브리두라스|아머까오|님피아|히트로토무|마폭시,63|71|12|55|18|81
0.0413,1,마폭시,5.18,0.367,0.7,1,브리두라스|타부자고|마스카나|아머까오|에이스번|마폭시,59|37|37|10|67|91
0.0413,2,보만다,5.161,0.27,0.6,0,보만다|타부자고|갸라도스|아머까오|에이스번|님피아,86|42|45|7|70|50
0.0412,2,핫삼,5.501,0.29,2.0,0,보만다|타부자고|마스카나|에이스번|님피아|핫삼,83|44|44|66|45|18
0.0408,2,망나뇽,5.461,0.23,13.4,0,보만다|킬가르도|에이스번|워시로토무|망나뇽|님피아,68|27|75|19|62|50
0.0406,1,마폭시,5.146,0.254,0.7,0,마스카나|아머까오|에이스번|워시로토무|님피아|마폭시,45|14|71|23|54|93
0.0404,2,마폭시,5.021,0.361,4.0,0,보만다|브리두라스|아머까오|워시로토무|님피아|마폭시,64|71|13|14|55|83
0.04,2,망나뇽,5.186,0.287,7.9,0,타부자고|갸라도스|아머까오|에이스번|망나뇽|님피아,43|50|7|76|81|42
0.04,2,망나뇽,5.228,0.318,11.2,0,브리두라스|갸라도스|아머까오|에이스번|망나뇽|님피아,49|46|9|78|80|38
0.0397,1,보만다,5.351,0.281,4.2,0,보만다|타부자고|마스카나|에이스번|워시로토무|님피아,87|44|42|68|14|45
0.0388,1,보만다,5.357,0.282,4.2,0,보만다|타부자고|마스카나|에이스번|님피아|히트로토무,88|42|43|66|48|13
0.0381,1,마폭시,5.113,0.177,1.5,0,아머까오|에이스번|워시로토무|빠르모트|님피아|마폭시,12|71|25|45|55|92
0.0381,2,갑주무사,5.523,0.307,2.3,0,보만다|갑주무사|브리두라스|마스카나|에이스번|님피아,86|23|43|37|67|45
0.038,2,마폭시,5.122,0.535,2.0,0,한카리아스|아머까오|워시로토무|님피아|히트로토무|마폭시,87|19|22|63|29|79
0.0377,1,마폭시,5.05,0.235,1.6,0,타부자고|아머까오|에이스번|워시로토무|님피아|마폭시,45|10|75|26|52|92
0.0375,1,마폭시,5.107,0.242,1.5,0,타부자고|아머까오|에이스번|삼삼드래|님피아|마폭시,43|10|71|29|54|93
0.0375,2,마폭시,5.277,0.292,2.2,0,보만다|타부자고|워시로토무|님피아|히트로토무|마폭시,71|55|18|59|18|78
0.0371,1,망나뇽,5.291,0.336,0.6,0,브리두라스|마스카나|아머까오|에이스번|망나뇽|님피아,39|51|13|73|85|39
0.0368,1,보만다,5.226,0.292,0.6,0,보만다|타부자고|마스카나|아머까오|에이스번|님피아,88|43|44|9|67|48
0.0368,1,마폭시,4.913,0.344,0.7,1,브리두라스|마스카나|아머까오|에이스번|워시로토무|마폭시,68|35|14|74|15|93
0.0366,2,망나뇽,5.171,0.24,12.0,0,보만다|킬가르도|아머까오|에이스번|망나뇽|님피아,71|26|9|78|64|52
0.0366,2,마폭시,5.289,0.296,0.7,0,보만다|타부자고|워시로토무|불카모스|님피아|마폭시,71|55|21|16|58|79
0.0365,2,마폭시,5.3,0.317,1.5,0,보만다|마스카나|아머까오|님피아|히트로토무|마폭시,65|52|15|65|23|79
0.0359,2,마폭시,5.162,0.306,0.7,0,보만다|타부자고|아머까오|워시로토무|님피아|마폭시,71|58|12|20|58|80
0.0358,2,마폭시,5.35,0.28,0.6,1,보만다|마스카나|아머까오|에이스번|워시로토무|마폭시,61|51|19|78|21|70
0.0355,1,망나뇽,5.069,0.297,0.6,0,킬가르도|마스카나|아머까오|에이스번|망나뇽|님피아,26|58|9|74|90|42
0.0355,2,마폭시,5.267,0.319,4.3,0,보만다|마스카나|아머까오|워시로토무|님피아|마폭시,68|52|16|21|63|81
0.0351,1,보만다,5.358,0.289,4.2,0,보만다|브리두라스|타부자고|에이스번|님피아|히트로토무,87|45|37|71|45|16
0.035,1,한카리아스,4.844,0.516,0.0,0,한카리아스|킬가르도|아머까오|에이스번|워시로토무|님피아,98|31|13|84|18|55
0.0349,2,망나뇽,5.246,0.227,11.2,0,보만다|아머까오|에이스번|워시로토무|망나뇽|님피아,70|14|79|21|60|56
0.0349,2,메타그로스,5.127,0.264,0.6,0,보만다|아머까오|에이스번|워시로토무|메타그로스|님피아,73|9|78|24|62|54
0.0348,1,보만다,5.315,0.287,4.2,0,보만다|브리두라스|타부자고|에이스번|워시로토무|님피아,89|43|37|72|15|45
0.0346,2,망나뇽,5.175,0.227,8.7,0,보만다|아머까오|에이스번|망나뇽|님피아|히트로토무,68|14|82|63|54|19
0.0346,2,망나뇽,5.263,0.219,11.4,0,보만다|에이스번|워시로토무|불카모스|망나뇽|님피아,69|81|19|17|61|53
0.0345,2,망나뇽,5.082,0.292,0.6,0,갑주무사|마스카나|아머까오|에이스번|망나뇽|님피아,21|61|11|76|85|45
0.0344,1,망나뇽,5.134,0.29,0.6,0,마스카나|아머까오|포푸니크|에이스번|망나뇽|님피아,56|10|31|74|88|41
0.0342,2,마폭시,5.153,0.305,3.4,0,보만다|타부자고|아머까오|님피아|히트로토무|마폭시,74|55|12|60|20|79
0.0339,2,망나뇽,5.197,0.225,11.2,0,보만다|고릴타|아머까오|에이스번|망나뇽|님피아,68|21|13|82|61|54
0.0339,2,마폭시,5.229,0.31,0.6,0,보만다|타부자고|아머까오|삼삼드래|님피아|마폭시,71|55|14|21|60|78
0.033,2,갑주무사,5.363,0.272,10.5,0,보만다|갑주무사|브리두라스|에이스번|님피아|히트로토무,85|28|52|71|46|18
0.0327,1,보만다,5.154,0.303,0.6,0,보만다|브리두라스|타부자고|아머까오|에이스번|님피아,90|48|36|8|70|47
0.0326,1,보만다,5.283,0.316,0.6,0,보만다|브리두라스|마스카나|아머까오|에이스번|님피아,88|43|41|11|69|47
0.0323,1,망나뇽,5.021,0.285,0.6,0,마스카나|아머까오|에이스번|망나뇽|님피아|히트로토무,57|15|78|90|44|16
0.0323,1,한카리아스,4.729,0.504,0.0,0,한카리아스|아머까오|에이스번|워시로토무|님피아|히트로토무,98|18|89|15|57|23
0.0316,1,망나뇽,5,0.285,0.6,0,마스카나|아머까오|에이스번|워시로토무|망나뇽|님피아,58|15|79|15|90|43
0.0316,1,망나뇽,5.127,0.29,0.6,0,마스카나|아머까오|대쓰여너|에이스번|망나뇽|님피아,57|12|25|75|89|42
0.0315,2,망나뇽,5.063,0.233,8.7,0,보만다|아머까오|에이스번|불카모스|망나뇽|님피아,72|13|83|15|64|54
0.0314,1,망나뇽,5.101,0.323,7.9,0,브리두라스|타부자고|아머까오|에이스번|망나뇽|님피아,54|34|8|77|87|40
0.0314,2,갑주무사,5.198,0.276,9.6,0,보만다|갑주무사|브리두라스|에이스번|워시로토무|님피아,86|28|54|74|12|46
0.0312,2,망나뇽,4.97,0.294,0.6,0,마스카나|아머까오|에이스번|망나뇽|님피아|핫삼,63|13|78|85|47|14
0.0312,2,갑주무사,4.758,0.504,5.1,0,한카리아스|갑주무사|아머까오|에이스번|워시로토무|님피아,97|22|14|89|20|58
0.0311,2,마폭시,4.949,0.291,0.7,1,마스카나|갸라도스|아머까오|에이스번|워시로토무|마폭시,50|48|13|86|16|87
0.031,2,갑주무사,5.32,0.253,3.1,0,보만다|갑주무사|마스카나|에이스번|님피아|히트로토무,86|23|49|70|54|19
0.0308,2,보만다,5.07,0.232,1.4,0,보만다|갸라도스|아머까오|에이스번|님피아|히트로토무,88|48|11|77|54|22
0.0306,1,망나뇽,5.061,0.273,5.5,0,마스카나|에이스번|워시로토무|불카모스|망나뇽|님피아,56|80|15|18|87|44
0.0302,1,한카리아스,4.706,0.51,0.0,0,한카리아스|아머까오|에이스번|워시로토무|불카모스|님피아,98|17|89|19|18|59
0.0302,2,망나뇽,5.094,0.249,7.9,0,갸라도스|아머까오|에이스번|망나뇽|님피아|히트로토무,53|12|84|84|44|23
0.0302,2,갑주무사,5.231,0.253,2.3,0,보만다|갑주무사|마스카나|에이스번|워시로토무|님피아,87|25|48|73|15|52
0.03,2,망나뇽,5.081,0.31,11.2,0,갑주무사|브리두라스|아머까오|에이스번|망나뇽|님피아,25|62|10|77|85|41
0.0299,2,갑주무사,5.066,0.288,8.7,0,보만다|갑주무사|브리두라스|아머까오|에이스번|님피아,87|24|58|9|74|48
0.0298,1,망나뇽,4.976,0.291,0.6,0,마스카나|아머까오|에이스번|불카모스|망나뇽|님피아,59|14|78|15|90|44
0.0296,1,망나뇽,4.956,0.285,0.6,0,고릴타|마스카나|아머까오|에이스번|망나뇽|님피아,14|59|13|80|89|45
0.0295,1,마폭시,5.049,0.297,0.7,1,타부자고|마스카나|아머까오|에이스번|워시로토무|마폭시,57|42|12|76|21|91
0.0291,2,보만다,5.195,0.235,2.0,0,보만다|타부자고|에이스번|워시로토무|님피아|핫삼,87|50|76|18|49|19
0.0285,2,망나뇽,5.162,0.266,7.9,0,아머까오|에이스번|워시로토무|메타그로스|망나뇽|님피아,10|88|26|58|67|51
0.0279,1,마폭시,5.031,0.2,0.6,0,아머까오|에이스번|워시로토무|삼삼드래|님피아|마폭시,14|78|25|31|58|94
0.0279,1,망나뇽,4.799,0.292,0.6,0,마스카나|아머까오|에이스번|라우드본|망나뇽|님피아,63|12|79|10|91|46
0.0277,1,한카리아스,4.787,0.51,3.6,0,한카리아스|아머까오|에이스번|알로라 나인테일|워시로토무|님피아,99|17|87|18|22|57
0.0276,2,갑주무사,5.077,0.269,1.4,0,보만다|갑주무사|마스카나|아머까오|에이스번|님피아,87|21|54|11|74|52
0.0274,1,망나뇽,4.976,0.312,11.2,0,브리두라스|킬가르도|아머까오|에이스번|망나뇽|님피아,61|25|8|78|88|41
0.0274,1,망나뇽,4.875,0.293,0.6,0,마스카나|아머까오|에이스번|삼삼드래|망나뇽|님피아,59|17|78|9|91|47
0.0271,1,마폭시,4.973,0.203,3.7,0,킬가르도|아머까오|에이스번|워시로토무|님피아|마폭시,25|11|79|32|58|94
0.0271,2,망나뇽,5.083,0.251,9.3,0,타부자고|에이스번|워시로토무|망나뇽|님피아|핫삼,50|82|18|89|44|17
0.027,1,보만다,5.018,0.279,1.4,0,보만다|브리두라스|아머까오|에이스번|님피아|히트로토무,89|57|10|75|49|19
0.0265,2,보만다,4.918,0.233,4.2,0,보만다|갸라도스|아머까오|에이스번|워시로토무|님피아,89|48|11|80|15|58
0.0264,1,망나뇽,5.039,0.301,7.9,0,브리두라스|아머까오|에이스번|망나뇽|님피아|히트로토무,60|13|79|87|42|19
0.0264,1,보만다,5.069,0.23,4.2,0,보만다|타부자고|에이스번|워시로토무|님피아|히트로토무,91|50|77|17|49|16
